,Unnamed: 0,keyword,date,text,score
59,59,一正蒲鉾,Thu Feb 07 16:31:46 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
60,60,一正蒲鉾,Thu Feb 07 16:28:14 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
61,61,一正蒲鉾,Thu Feb 07 16:26:20 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
62,62,一正蒲鉾,Thu Feb 07 16:25:36 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
63,63,一正蒲鉾,Thu Feb 07 16:21:59 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
64,64,一正蒲鉾,Thu Feb 07 16:20:00 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
65,65,一正蒲鉾,Thu Feb 07 16:17:00 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
66,66,一正蒲鉾,Thu Feb 07 16:16:05 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
67,67,一正蒲鉾,Thu Feb 07 16:13:58 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
68,68,一正蒲鉾,Thu Feb 07 16:11:12 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
69,69,一正蒲鉾,Thu Feb 07 16:11:08 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
70,70,一正蒲鉾,Thu Feb 07 16:08:52 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
71,71,一正蒲鉾,Thu Feb 07 16:05:39 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
72,72,一正蒲鉾,Thu Feb 07 16:05:34 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
73,73,一正蒲鉾,Thu Feb 07 16:03:46 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
74,74,一正蒲鉾,Thu Feb 07 16:00:22 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
75,75,一正蒲鉾,Thu Feb 07 15:59:56 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
76,76,一正蒲鉾,Thu Feb 07 15:58:11 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
77,77,一正蒲鉾,Thu Feb 07 15:56:57 +0000 2019,RT @ichimasa_jp: ＜キャンペーン情報！！＞新商品！「スポちく」が30名様に当たる！スポーツの前後に手軽にたんぱく質補給ができる、高たんぱく低脂肪のちくわ「スポちく」を試してみたい方はぜひご参加くださ～い♪https://t.co/Sa6FYhxrQY#キャ…,3
